                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86579,                 1.7433,                 1.1492,                0.90222,                0.86348,                 0.9105,                0.69415,                0.84566,                 1.0767,                 1.0537,                0.00058,                0.00058,                0.00058
                      2,                0.91777,                0.92234,                 1.1985,                0.93075,                0.85787,                0.93304,                0.68336,                0.87239,                 1.4195,                 1.1064,              0.0011683,              0.0011683,              0.0011683
                      3,                0.93105,                0.89714,                 1.1805,                0.82516,                0.82447,                0.89096,                0.64191,                0.99125,                 1.2029,                  1.191,              0.0017448,              0.0017448,              0.0017448
                      4,                0.92804,                0.85072,                 1.1732,                0.75758,                0.80342,                0.81465,                0.54747,                 1.0065,                 1.2263,                 1.1564,              0.0019406,              0.0019406,              0.0019406
                      5,                0.89654,                0.81528,                 1.1593,                0.25509,                0.72163,                0.24708,                 0.1527,                 1.0593,                 2.0283,                 1.1875,              0.0019208,              0.0019208,              0.0019208
                      6,                0.87652,                0.78415,                 1.1677,                0.89355,                0.90783,                0.94874,                 0.7531,                0.76444,                0.90797,                 1.0147,               0.001901,               0.001901,               0.001901
                      7,                0.87063,                0.74589,                 1.1548,                0.82112,                0.88298,                 0.9123,                0.69651,                0.76196,                0.90349,                 1.0608,              0.0018812,              0.0018812,              0.0018812
                      8,                0.85582,                0.73593,                 1.1607,                 0.9369,                0.89514,                0.96449,                0.77356,                 0.7067,                0.71396,                 1.0089,              0.0018614,              0.0018614,              0.0018614
                      9,                0.81539,                0.71048,                 1.1374,                 0.9397,                 0.9118,                0.96715,                 0.7648,                0.70105,                0.95144,                0.99999,              0.0018416,              0.0018416,              0.0018416
                     10,                0.85935,                0.69565,                 1.1563,                0.94738,                0.93262,                0.97727,                0.80184,                0.70259,                0.59452,                0.97383,              0.0018218,              0.0018218,              0.0018218
                     11,                0.81556,                0.65464,                 1.1174,                0.96395,                0.93794,                0.98125,                0.81394,                0.68517,                0.66284,                0.98831,               0.001802,               0.001802,               0.001802
                     12,                0.82521,                0.66096,                 1.1469,                0.98031,                0.93262,                0.98695,                0.82099,                  0.688,                0.54495,                0.98028,              0.0017822,              0.0017822,              0.0017822
