                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0958,                 3.3496,                 4.1505,                 0.0038,                0.96454,                 0.0184,                0.00682,                 2.4306,                  3.257,                 4.1247,                0.00058,                0.00058,                0.00058
                      2,                 3.0862,                 3.0693,                 3.8527,                0.01879,                 0.7961,                0.09955,                0.02542,                 2.5619,                 3.6376,                 3.6471,              0.0011683,              0.0011683,              0.0011683
                      3,                 2.7998,                 2.8657,                 3.5038,                0.00461,                0.93617,                0.25174,                 0.1146,                 3.0979,                 3.5444,                 6.0886,              0.0017448,              0.0017448,              0.0017448
                      4,                  2.528,                 2.6116,                 3.1886,                0.06338,                 0.5461,                0.12767,                0.04555,                 3.3958,                 67.665,                 13.749,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4043,                 2.3548,                 2.9533,                 0.0347,                 0.6578,                  0.073,                0.02164,                 2.8173,                 91.611,                  8.506,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.2029,                 2.2487,                 2.7302,                0.15998,                0.48404,                0.11566,                0.03922,                 2.4605,                 4.2802,                 4.6746,               0.001901,               0.001901,               0.001901
                      7,                 2.1242,                 2.0932,                 2.6277,                0.24981,                0.30674,                0.16118,                0.05957,                 2.4844,                 2.6997,                 4.3197,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.0095,                 1.9858,                 2.5016,                0.47116,                0.67908,                0.53289,                0.20702,                 1.8107,                 2.7136,                 2.8904,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.9286,                 1.8867,                  2.384,                0.48036,                0.55674,                0.46329,                0.18759,                 1.8132,                 2.4486,                  2.802,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8532,                 1.7475,                 2.3309,                 0.7261,                0.65334,                0.66066,                0.35905,                 1.5633,                 1.8104,                 2.5166,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7582,                 1.6776,                 2.2489,                0.80062,                0.71911,                0.80038,                0.47251,                 1.4437,                 1.4843,                 2.3048,               0.001802,               0.001802,               0.001802
                     12,                 1.6917,                 1.5927,                 2.1736,                0.81275,                0.73759,                0.82582,                0.51051,                 1.3506,                 1.2934,                 2.2191,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6107,                 1.5364,                 2.1058,                0.85786,                0.75887,                0.86808,                0.52118,                 1.4025,                 1.3206,                 2.2242,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5354,                 1.4288,                 2.0123,                0.80986,                 0.7695,                0.86019,                0.53998,                 1.3244,                 1.3451,                 2.1501,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5272,                 1.4377,                 2.0158,                0.87229,                 0.7695,                0.88287,                0.57777,                   1.23,                 1.3954,                  2.046,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4442,                 1.3459,                 1.9255,                0.86109,                0.79965,                 0.8882,                0.61821,                 1.1327,                0.99056,                 1.9429,               0.001703,               0.001703,               0.001703
                     17,                 1.4142,                 1.3023,                 1.9102,                0.88524,                0.85461,                0.91359,                 0.6052,                 1.1922,                 1.0746,                 1.9526,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4613,                 1.3462,                  1.923,                0.89706,                0.78723,                0.89704,                0.61886,                 1.1431,                 1.1441,                 1.9368,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3567,                 1.2178,                 1.8664,                0.91189,                0.84411,                0.92273,                0.66433,                  1.048,                0.86816,                 1.8135,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3393,                 1.2129,                 1.8328,                 0.8002,                0.78723,                0.85962,                0.59275,                  1.089,                 1.1437,                 1.8857,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3629,                 1.2346,                 1.8241,                0.84762,                 0.8156,                0.88998,                0.60001,                 1.1852,                 1.0453,                 1.9241,               0.001604,               0.001604,               0.001604
                     22,                 1.3224,                 1.1905,                 1.8109,                0.90329,                0.81915,                0.92508,                0.68632,                  0.992,                0.86193,                 1.7342,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2229,                 1.1091,                 1.7463,                0.92748,                0.86348,                0.92603,                0.68046,                0.99117,                0.87011,                 1.7384,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.2627,                 1.0977,                 1.7625,                0.93298,                 0.8617,                0.93585,                0.69155,                0.96026,                0.83795,                 1.6902,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1912,                 1.0632,                  1.706,                0.89786,                0.85726,                0.93476,                0.68367,                0.97163,                0.81986,                 1.7168,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2175,                  1.095,                  1.709,                0.92021,                0.86525,                0.93826,                0.72025,                0.88483,                0.87768,                 1.6108,               0.001505,               0.001505,               0.001505
                     27,                  1.194,                 1.0604,                 1.6917,                0.94473,                0.87886,                0.94524,                0.71966,                0.93037,                0.82539,                   1.65,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1784,                 1.0457,                 1.6757,                0.93261,                0.88338,                0.94308,                0.72235,                0.88156,                0.72161,                 1.5895,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1468,                 1.0184,                 1.6395,                0.91503,                0.90426,                0.95294,                0.74495,                 0.8613,                0.68129,                 1.5755,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1531,                 1.0172,                 1.6788,                0.92882,                0.83333,                0.93162,                0.70403,                0.91509,                0.86783,                 1.6138,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1476,                0.99691,                  1.656,                0.94374,                0.88652,                0.95884,                0.73503,                0.90063,                0.71796,                 1.5871,               0.001406,               0.001406,               0.001406
                     32,                 1.1179,                0.94434,                 1.6171,                0.94883,                0.88761,                0.95859,                0.74267,                0.87596,                0.68395,                 1.5787,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0835,                0.91496,                 1.6134,                0.95105,                 0.8956,                 0.9597,                0.75299,                0.84393,                0.63749,                 1.5685,              0.0013664,              0.0013664,              0.0013664
